 time            v(vout)         @l1[i]          @l2[i]          v(nl2,nd1)      @d1[id]         @rl[i]         
 7.80471909e-02 -3.56494844e+01  2.96936389e+00 -3.82989586e+00  8.39049119e+01 -1.00000008e-03 -3.96105382e+00 
 7.80473472e-02 -3.56337458e+01  2.97011389e+00 -3.83743653e+00  8.38989202e+01 -1.00000008e-03 -3.95930509e+00 
 7.80475034e-02 -3.56191550e+01  2.97086389e+00 -3.84497863e+00  8.38929168e+01 -1.00000008e-03 -3.95768389e+00 
 7.80476597e-02 -3.56056963e+01  2.97161389e+00 -3.85252199e+00  8.38869016e+01 -1.00000008e-03 -3.95618848e+00 
 7.80478159e-02 -3.55933545e+01  2.97236389e+00 -3.86006642e+00  8.38808745e+01 -1.00000008e-03 -3.95481717e+00 
 7.80479722e-02 -3.55821143e+01  2.97311389e+00 -3.86761175e+00  8.38748357e+01 -1.00000008e-03 -3.95356825e+00 
 7.80481284e-02 -3.55719606e+01  2.97386389e+00 -3.87515781e+00  8.38687851e+01 -1.00000008e-03 -3.95244006e+00 
 7.80482847e-02 -3.55628786e+01  2.97461389e+00 -3.88270443e+00  8.38627227e+01 -1.00000008e-03 -3.95143096e+00 
 7.80484409e-02 -3.55548537e+01  2.97536389e+00 -3.89025143e+00  8.38566486e+01 -1.00000008e-03 -3.95053930e+00 
 7.80485972e-02 -3.55478715e+01  2.97611389e+00 -3.89779866e+00  8.38505626e+01 -1.00000008e-03 -3.94976349e+00 
 7.80487534e-02 -3.55419175e+01  2.97686389e+00 -3.90534594e+00  8.38444648e+01 -1.00000008e-03 -3.94910194e+00 
 7.80489097e-02 -3.55369777e+01  2.97761389e+00 -3.91289312e+00  8.38383552e+01 -1.00000008e-03 -3.94855308e+00 
 7.80490659e-02 -3.55330381e+01  2.97836389e+00 -3.92044004e+00  8.38322339e+01 -1.00000008e-03 -3.94811535e+00 
 7.80492222e-02 -3.55300851e+01  2.97911389e+00 -3.92798654e+00  8.38261007e+01 -1.00000008e-03 -3.94778723e+00 
 7.80493784e-02 -3.55281049e+01  2.97986389e+00 -3.93553247e+00  8.38199558e+01 -1.00000008e-03 -3.94756721e+00 
 7.80495347e-02 -3.55270841e+01  2.98061389e+00 -3.94307767e+00  8.38137991e+01 -1.00000008e-03 -3.94745379e+00 
 7.80496909e-02 -3.55270095e+01  2.98136389e+00 -3.95062199e+00  8.38076306e+01 -1.00000008e-03 -3.94744550e+00 
 7.80498472e-02 -3.55278679e+01  2.98211389e+00 -3.95816529e+00  8.38014503e+01 -1.00000008e-03 -3.94754088e+00 
 7.80500034e-02 -3.55296464e+01  2.98286389e+00 -3.96570742e+00  8.37952582e+01 -1.00000008e-03 -3.94773849e+00 
 7.80501597e-02 -3.55323323e+01  2.98361389e+00 -3.97324822e+00  8.37890543e+01 -1.00000008e-03 -3.94803692e+00 
 7.80503159e-02 -3.55359129e+01  2.98436389e+00 -3.98078757e+00  8.37828387e+01 -1.00000008e-03 -3.94843477e+00 
 7.80504722e-02 -3.55403757e+01  2.98511389e+00 -3.98832532e+00  8.37766112e+01 -1.00000008e-03 -3.94893063e+00 
 7.80506284e-02 -3.55457084e+01  2.98586389e+00 -3.99586132e+00  8.37703720e+01 -1.00000008e-03 -3.94952315e+00 
 7.80507847e-02 -3.55518988e+01  2.98661389e+00 -4.00339546e+00  8.37641210e+01 -1.00000008e-03 -3.95021098e+00 
 7.80509409e-02 -3.55589350e+01  2.98736389e+00 -4.01092758e+00  8.37578583e+01 -1.00000008e-03 -3.95099278e+00 
 7.80510972e-02 -3.55668051e+01  2.98811389e+00 -4.01845755e+00  8.37515838e+01 -1.00000008e-03 -3.95186723e+00 
 7.80512534e-02 -3.55754973e+01  2.98886389e+00 -4.02598526e+00  8.37452975e+01 -1.00000008e-03 -3.95283303e+00 
 7.80514097e-02 -3.55850000e+01  2.98961389e+00 -4.03351055e+00  8.37389994e+01 -1.00000008e-03 -3.95388889e+00 
 7.80515659e-02 -3.55953019e+01  2.99036389e+00 -4.04103332e+00  8.37326896e+01 -1.00000008e-03 -3.95503354e+00 
 7.80517222e-02 -3.56063916e+01  2.99111389e+00 -4.04855342e+00  8.37263681e+01 -1.00000008e-03 -3.95626574e+00 
 7.80518784e-02 -3.56182581e+01  2.99186389e+00 -4.05607075e+00  8.37200348e+01 -1.00000008e-03 -3.95758423e+00 
 7.80520347e-02 -3.56308902e+01  2.99261389e+00 -4.06358517e+00  8.37136897e+01 -1.00000008e-03 -3.95898780e+00 
 7.80521909e-02 -3.56442771e+01  2.99336389e+00 -4.07109656e+00  8.37073330e+01 -1.00000008e-03 -3.96047523e+00 
 7.80523472e-02 -3.56584081e+01  2.99411389e+00 -4.07860481e+00  8.37009644e+01 -1.00000008e-03 -3.96204534e+00 
 7.80525034e-02 -3.56732725e+01  2.99486389e+00 -4.08610980e+00  8.36945842e+01 -1.00000008e-03 -3.96369694e+00 
 7.80526597e-02 -3.56888599e+01  2.99561389e+00 -4.09361142e+00  8.36881922e+01 -1.00000008e-03 -3.96542887e+00 
 7.80528159e-02 -3.57051599e+01  2.99636389e+00 -4.10110954e+00  8.36817885e+01 -1.00000008e-03 -3.96723999e+00 
 7.80529722e-02 -3.57221623e+01  2.99711389e+00 -4.10860406e+00  8.36753731e+01 -1.00000008e-03 -3.96912915e+00 
 7.80531284e-02 -3.57398570e+01  2.99786389e+00 -4.11609486e+00  8.36689460e+01 -1.00000008e-03 -3.97109523e+00 
 7.80532847e-02 -3.57582341e+01  2.99861389e+00 -4.12358184e+00  8.36625072e+01 -1.00000008e-03 -3.97313712e+00 
 7.80534288e-02 -3.57757782e+01  2.99930555e+00 -4.13048301e+00  8.36565588e+01 -1.00000008e-03 -3.97508647e+00 
 7.80535729e-02 -3.57938866e+01  2.99999722e+00 -4.13738074e+00  8.36506005e+01 -1.00000008e-03 -3.97709851e+00 
 7.80535730e-02 -3.57938994e+01  2.99999770e+00 -4.13738553e+00  8.36505964e+01 -1.00000008e-03 -3.97709993e+00 
 7.80535732e-02 -3.57939249e+01  2.99999866e+00 -4.13739510e+00  8.36505881e+01 -1.00000008e-03 -3.97710277e+00 
 7.80535734e-02 -3.57939504e+01  2.99999878e+00 -4.13739628e+00  8.36505870e+01  7.15126480e+00 -3.97710560e+00 
 7.80535736e-02 -3.57939823e+01  2.99999788e+00 -4.13738728e+00  8.36505945e+01  7.13846010e+00 -3.97710915e+00 
 7.80535739e-02 -3.57940142e+01  2.99999699e+00 -4.13737827e+00  8.36506020e+01  7.13738478e+00 -3.97711269e+00 
