 time            v(vout)         @l1[i]         
 1.45202456e-04  2.14764819e+02  4.52020576e+00 
 1.46202456e-04  2.14741973e+02  4.62020576e+00 
 1.47202456e-04  2.14719129e+02  4.72020576e+00 
 1.48202456e-04  2.14696288e+02  4.82020576e+00 
 1.49101728e-04  2.14675750e+02  4.91013293e+00 
 1.50001000e-04  2.14655213e+02  5.00006011e+00 
 1.50001100e-04  2.14655211e+02  5.00007011e+00 
 1.50001300e-04  2.14655206e+02  5.00009011e+00 
 1.50001350e-04  2.14655205e+02  5.00009511e+00 
 1.50001437e-04  2.14655203e+02  5.00010386e+00 
 1.50001534e-04  2.14655206e+02  5.00010312e+00 
 1.50001728e-04  2.14655222e+02  5.00008076e+00 
 1.50002000e-04  2.14655245e+02  5.00004935e+00 
 1.50002039e-04  2.14655248e+02  5.00004487e+00 
 1.50002116e-04  2.14655255e+02  5.00003591e+00 
 1.50002271e-04  2.14655268e+02  5.00001801e+00 
 1.50002581e-04  2.14655294e+02  4.99998226e+00 
 1.50003201e-04  2.14655346e+02  4.99991079e+00 
 1.50004441e-04  2.14655449e+02  4.99976788e+00 
 1.50006921e-04  2.14655656e+02  4.99948207e+00 
 1.50011881e-04  2.14656071e+02  4.99891043e+00 
 1.50021801e-04  2.14656899e+02  4.99776725e+00 
 1.50041641e-04  2.14658555e+02  4.99548089e+00 
 1.50081321e-04  2.14661865e+02  4.99090819e+00 
 1.50160681e-04  2.14668472e+02  4.98176246e+00 
 1.50319401e-04  2.14681640e+02  4.96346955e+00 
 1.50636841e-04  2.14707789e+02  4.92687755e+00 
 1.51271721e-04  2.14759344e+02  4.85366914e+00 
 1.52271721e-04  2.14838535e+02  4.73829364e+00 
 1.53271721e-04  2.14915263e+02  4.62284081e+00 
 1.54271721e-04  2.14989525e+02  4.50731313e+00 
 1.55271721e-04  2.15061320e+02  4.39171309e+00 
 1.56271721e-04  2.15130648e+02  4.27604317e+00 
 1.57271721e-04  2.15197506e+02  4.16030586e+00 
 1.58271721e-04  2.15261895e+02  4.04450364e+00 
 1.59271721e-04  2.15323812e+02  3.92863901e+00 
 1.60271721e-04  2.15383257e+02  3.81271446e+00 
 1.61271721e-04  2.15440228e+02  3.69673249e+00 
 1.62271721e-04  2.15494726e+02  3.58069560e+00 
 1.63271721e-04  2.15546748e+02  3.46460629e+00 
 1.64271721e-04  2.15596294e+02  3.34846706e+00 
 1.65271721e-04  2.15643364e+02  3.23228042e+00 
 1.66271721e-04  2.15687956e+02  3.11604888e+00 
 1.67271721e-04  2.15730071e+02  2.99977495e+00 
 1.68271721e-04  2.15769706e+02  2.88346115e+00 
 1.69271721e-04  2.15806862e+02  2.76711000e+00 
 1.70271721e-04  2.15841539e+02  2.65072403e+00 
 1.71271721e-04  2.15873735e+02  2.53430575e+00 
 1.72271721e-04  2.15903451e+02  2.41785770e+00 
 1.73271721e-04  2.15930686e+02  2.30138243e+00 
 1.74271721e-04  2.15955439e+02  2.18488247e+00 
 1.75271721e-04  2.15977711e+02  2.06836038e+00 
 1.76271721e-04  2.15997502e+02  1.95181872e+00 
 1.77271721e-04  2.16014810e+02  1.83526006e+00 
 1.78271721e-04  2.16029637e+02  1.71868697e+00 
 1.79271721e-04  2.16041982e+02  1.60210205e+00 
 1.80271721e-04  2.16051845e+02  1.48550792e+00 
 1.81271721e-04  2.16059227e+02  1.36890720e+00 
 1.82271721e-04  2.16064127e+02  1.25230254e+00 
 1.83271721e-04  2.16066545e+02  1.13569664e+00 
 1.84271721e-04  2.16066483e+02  1.01909223e+00 
 1.85271721e-04  2.16063940e+02  9.02492092e-01 
 1.86271721e-04  2.16058916e+02  7.85899097e-01 
 1.87271721e-04  2.16051412e+02  6.69316230e-01 
 1.88271721e-04  2.16041429e+02  5.52746653e-01 
 1.89271721e-04  2.16028968e+02  4.36193825e-01 
 1.90271721e-04  2.16014028e+02  3.19661751e-01 
 1.91271721e-04  2.15996610e+02  2.03155618e-01 
 1.92271721e-04  2.15976716e+02  8.66840743e-02 
 1.93271721e-04  2.15954663e+02  1.57823365e-07 
 1.93873346e-04  2.15940842e+02  4.18856810e-08 
 1.94310636e-04  2.15930797e+02  1.58120512e-07 
 1.94735031e-04  2.15921048e+02  4.49833001e-08 
 1.95583820e-04  2.15901552e+02  1.89172823e-07 
 1.96583820e-04  2.15878585e+02  4.24527053e-08 
 1.97583820e-04  2.15855620e+02  1.57821119e-07 
 1.98583820e-04  2.15832658e+02  4.24532189e-08 
 1.99291910e-04  2.15816400e+02  1.60942848e-07 
 2.00000000e-04  2.15800144e+02  4.33112679e-08 
 2.00000100e-04  2.15800142e+02  1.03008212e-07 
 2.00000300e-04  2.15800137e+02  1.04247067e-07 
 2.00000500e-04  2.15800132e+02  1.00457890e-05 
 2.00000682e-04  2.15800128e+02  2.82870698e-05 
 2.00001000e-04  2.15800121e+02  6.00457890e-05 
 2.00001036e-04  2.15800120e+02  6.36940451e-05 
 2.00001109e-04  2.15800118e+02  7.09905575e-05 
 2.00001255e-04  2.15800115e+02  8.55835821e-05 
 2.00001547e-04  2.15800108e+02  1.14769631e-04 
 2.00002131e-04  2.15800095e+02  1.73141730e-04 
 2.00003298e-04  2.15800068e+02  2.89885927e-04 
 2.00005633e-04  2.15800015e+02  5.23374322e-04 
 2.00010303e-04  2.15799907e+02  9.90351111e-04 
 2.00019643e-04  2.15799693e+02  1.92430469e-03 
 2.00038322e-04  2.15799264e+02  3.79221185e-03 
 2.00075680e-04  2.15798406e+02  7.52802616e-03 
 2.00150396e-04  2.15796691e+02  1.49996548e-02 
 2.00299829e-04  2.15793261e+02  2.99429120e-02 
 2.00598694e-04  2.15786400e+02  5.98294266e-02 
 2.01196424e-04  2.15772679e+02  1.19602456e-01 
 2.02196424e-04  2.15749725e+02  2.19602456e-01 
 2.03196424e-04  2.15726775e+02  3.19602456e-01 
 2.04196424e-04  2.15703826e+02  4.19602456e-01 
 2.05196424e-04  2.15680880e+02  5.19602456e-01 
 2.06196424e-04  2.15657937e+02  6.19602456e-01 
 2.07196424e-04  2.15634995e+02  7.19602456e-01 
 2.08196424e-04  2.15612057e+02  8.19602456e-01 
 2.09196424e-04  2.15589121e+02  9.19602456e-01 
 2.10196424e-04  2.15566187e+02  1.01960246e+00 
 2.11196424e-04  2.15543255e+02  1.11960246e+00 
 2.12196424e-04  2.15520326e+02  1.21960246e+00 
 2.13196424e-04  2.15497400e+02  1.31960246e+00 
 2.14196424e-04  2.15474476e+02  1.41960246e+00 
 2.15196424e-04  2.15451554e+02  1.51960246e+00 
 2.16196424e-04  2.15428635e+02  1.61960246e+00 
 2.17196424e-04  2.15405718e+02  1.71960246e+00 
 2.18196424e-04  2.15382804e+02  1.81960246e+00 
 2.19196424e-04  2.15359892e+02  1.91960246e+00 
 2.20196424e-04  2.15336983e+02  2.01960246e+00 
 2.21196424e-04  2.15314076e+02  2.11960246e+00 
 2.22196424e-04  2.15291171e+02  2.21960246e+00 
 2.23196424e-04  2.15268269e+02  2.31960246e+00 
 2.24196424e-04  2.15245370e+02  2.41960246e+00 
 2.25196424e-04  2.15222472e+02  2.51960246e+00 
 2.26196424e-04  2.15199578e+02  2.61960246e+00 
 2.27196424e-04  2.15176685e+02  2.71960246e+00 
 2.28196424e-04  2.15153795e+02  2.81960246e+00 
 2.29196424e-04  2.15130908e+02  2.91960246e+00 
 2.30196424e-04  2.15108023e+02  3.01960246e+00 
 2.31196424e-04  2.15085140e+02  3.11960246e+00 
