 time            v(vout)         @l1[i]          v(ns1)         
 7.40631241e-05  2.88474656e+00  7.17643021e+00 -2.30004127e-01 
 7.44631241e-05  2.90763489e+00  7.16392696e+00 -2.29238717e-01 
 7.48631241e-05  2.93042735e+00  7.15133253e+00 -2.29914742e-01 
 7.52631241e-05  2.95312376e+00  7.13864731e+00 -2.29146034e-01 
 7.56631241e-05  2.97572395e+00  7.12587167e+00 -2.29823747e-01 
 7.60631241e-05  2.99822775e+00  7.11300602e+00 -2.29051684e-01 
 7.64631241e-05  3.02063500e+00  7.10005073e+00 -2.29731137e-01 
 7.68631241e-05  3.04294553e+00  7.08700619e+00 -2.28955662e-01 
 7.72631241e-05  3.06515919e+00  7.07387280e+00 -2.29636908e-01 
 7.76631241e-05  3.08727580e+00  7.06065094e+00 -2.28857962e-01 
 7.80631241e-05  3.10929521e+00  7.04734100e+00 -2.29541054e-01 
 7.84631241e-05  3.13121727e+00  7.03394337e+00 -2.28758577e-01 
 7.88631241e-05  3.15304181e+00  7.02045845e+00 -2.29443569e-01 
 7.92631241e-05  3.17476869e+00  7.00688663e+00 -2.28657502e-01 
 7.96315620e-05  3.19469467e+00  6.99430913e+00 -2.29348381e-01 
 8.00000000e-05  3.21453755e+00  6.98165855e+00 -2.28562906e-01 
 8.00100000e-05  3.21507493e+00  6.98131415e+00 -2.28943363e-01 
 8.00300000e-05  3.21614956e+00  6.98062524e+00 -2.28961798e-01 
 8.00650000e-05  3.21802957e+00  6.97941912e+00 -2.28968022e-01 
 8.01000000e-05  3.21990884e+00  6.97821234e+00 -2.28985023e-01 
 8.01070000e-05  3.22028459e+00  6.97797089e+00 -2.28983456e-01 
 8.01210000e-05  3.22103602e+00  6.97748794e+00 -2.28980771e-01 
 8.01490000e-05  3.22253854e+00  6.97652172e+00 -2.28975151e-01 
 8.02050000e-05  3.22554212e+00  6.97458804e+00 -2.28964424e-01 
 8.03170000e-05  3.23154350e+00  6.97071564e+00 -2.28943417e-01 
 8.05410000e-05  3.24352317e+00  6.96295078e+00 -2.28904160e-01 
 8.05561571e-05  3.24433260e+00  6.96242434e+00 -2.28901102e-01 
 8.05864714e-05  3.24595118e+00  6.96137121e+00 -2.28896147e-01 
 8.06470999e-05  3.24918664e+00  6.95926348e+00 -2.28885866e-01 
 8.07683569e-05  3.25565078e+00  6.95504333e+00 -2.26953643e-01 
 8.07986711e-05  3.25726519e+00  6.95421047e+00  5.09849759e-01 
 8.08592996e-05  3.26049384e+00  6.95526764e+00  9.49526970e+00 
 8.08688988e-05  3.26100504e+00  6.95597785e+00  1.06597267e+01 
 8.08880970e-05  3.26202754e+00  6.95757013e+00  1.24510813e+01 
